Day,Time,Subject,Professor,Location
Lundi,8h30-11h30,"E01 : Circuits Electroniques","Pr SMIRI","Salle ELEC 1"
Lundi,15h-18h,"E02 : Traitement du Signal","Pr JABRI","Salle ELEC 2"
Mardi,8h30-11h30,,,
